"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7a5b2da-abb3-5454-aaa5-f244093fbe9b","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","50% Falling"
"e0885458-0e7f-5779-bd8d-f61ba04f0f6a","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","25% Falling"
"8c557b6c-ee9d-5d7c-a2cc-52810f99590f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","0% Falling"
"24a710de-8797-5c80-84d2-89c4b15ecb03","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","Digital Input/Analogue Alarm Trip Points"
"b23fde4d-4575-52d1-8b4c-2a00c423990d","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","Alarm Lo:"
"8df7efb5-000c-5148-99ad-ca63014265c9","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","Alarm Lo-Lo:"
"b9a4c1aa-0a54-5d04-b70e-30df21ff627a","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","Alarm Hi:"
"6cdc54bd-57b4-54b9-808f-4a41f0d4b483","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","Alarm Hi-Hi:"
"04a5c546-57cf-504f-8818-c405e44cb930","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","Control loop set points correct:"
"763282b3-7a01-5ebe-9f96-89c2e53b729e","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","Startup, Shutdown and Override functions"
"a69e7663-733e-50c4-befa-30d404e3200c","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","Additional checks"
"da446848-85c0-557c-8642-ef06f2dbe163","","holdpoint","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-123 Instrument Pre-Commissioning","All relevant signatures (Installed by, Approved by, Client Representative)"
"942ad7e7-accf-414c-89b8-fd8dd1aafe8f","","checklist-flat","not-started","ITR-CL-1-124 Commissioning Instruments","checklist-flat","FALSE","FALSE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-124 Commissioning Instruments"
"ec190c1c-0c82-5f22-9d98-07e2fd7ae457","","checkpoint-status","not-started","","","TRUE","TRUE","TOP-SEP-E-006 TH14 Tie-In","Instrument","TH32 2-PH SEPARATOR, PRESSURE TRANSMITTER","ITR-CL-1-124 Commissioning Instruments","Required Data"
