"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Plumbing Fit-Off - Common Area"
,"Scope",,
,"Rows"
,,"Common Area - B1","grouping","plumbing fit-off","common amenities (fit-off)","b1"
,,"d2913","expanded","l29","tower apartments (sub-mains)","plumbing (sub-mains/rough-ins)","d2913"
,"Columns"
,,"1.4 SD Sewer Wastes & Vents (Low Level)",,"1.4 sd sewer wastes & vents (low level)"
,,"4.4 CW Cold Water Rough-in (Low Level)",,"4.4 cw cold water rough-in (low level)"
,,"5.4 HW Hot Water Rough-in (Low Level)",,"5.4 hw hot water rough-in (low level)"
,,"7.4 NG Natural Gas Rough-in (Low Level)",,"7.4 ng natural gas rough-in (low level)"
,,"2.4 SW Downpipes/Overflows (Balcony/RWO)",,"2.4 sw downpipes/overflows (balcony/rwo)"
,,"12.0 SC Sub-Contractor Works - Internal",,"12.0 sc sub-contractor works - internal"

"Plumbing (Sub-Mains/Rough-ins) - Podium Apartments"
,"Scope",,
,"Rows"
,,"L3","grouping","podium apartments (sub-mains)","l3"
,,"d.03.01","expanded","d.03.01","podium apartments (sub-mains)","l3"
,,"d.03.02","expanded","d.03.02","podium apartments (sub-mains)","l3"
,,"d.03.03","expanded","podium apartments (sub-mains)","d.03.03","l3"
,,"d.03.04","expanded","podium apartments (sub-mains)","l3","d.03.04"
,,"d.03.05","expanded","d.03.05","podium apartments (sub-mains)","l3"
,,"d.03.06","expanded","d.03.06","podium apartments (sub-mains)","l3"
,,"d.03.07","expanded","d.03.07","podium apartments (sub-mains)","l3"
,,"d.03.08","expanded","podium apartments (sub-mains)","d.03.08","l3"
,,"d.03.09","expanded","d.03.09","podium apartments (sub-mains)","l3"
,,"d.03.10","expanded","podium apartments (sub-mains)","d.03.10","l3"
,,"d.03.11","expanded","podium apartments (sub-mains)","l3","d.03.11"
,,"L4","grouping","l4","podium apartments (sub-mains)"
,,"d.04.01","expanded","l4","podium apartments (sub-mains)","d.04.01"
,,"d.04.02","expanded","l4","d.04.02","podium apartments (sub-mains)"
,,"d.04.03","expanded","l4","d.04.03","podium apartments (sub-mains)"
,,"d.04.04","expanded","l4","podium apartments (sub-mains)","d.04.04"
,,"d.04.05","expanded","l4","podium apartments (sub-mains)","d.04.05"
,,"d.04.06","expanded","l4","d.04.06","podium apartments (sub-mains)"
,,"d.04.07","expanded","l4","d.04.07","podium apartments (sub-mains)"
,,"d.04.08","expanded","l4","d.04.08","podium apartments (sub-mains)"
,,"d.04.09","expanded","l4","podium apartments (sub-mains)","d.04.09"
,,"d.04.10","expanded","l4","d.04.10","podium apartments (sub-mains)"
,,"d.04.11","expanded","l4","podium apartments (sub-mains)","d.04.11"
,,"L5","grouping","l5","podium apartments (sub-mains)"
,,"d.05.01","expanded","l5","podium apartments (sub-mains)","d.05.01"
,,"d.05.02","expanded","l5","podium apartments (sub-mains)","d.05.02"
,,"d.05.03","expanded","l5","d.05.03","podium apartments (sub-mains)"
,,"d.05.04","expanded","d.05.04","l5","podium apartments (sub-mains)"
,,"d.05.05","expanded","l5","podium apartments (sub-mains)","d.05.05"
,,"d.05.06","expanded","l5","podium apartments (sub-mains)","d.05.06"
,,"d.05.07","expanded","l5","d.05.07","podium apartments (sub-mains)"
,,"d.05.08","expanded","d.05.08","l5","podium apartments (sub-mains)"
,,"d.05.09","expanded","l5","podium apartments (sub-mains)","d.05.09"
,,"d.05.10","expanded","d.05.10","l5","podium apartments (sub-mains)"
,,"d.05.11","expanded","d.05.11","l5","podium apartments (sub-mains)"
,,"L6","grouping","l6","podium apartments (sub-mains)"
,,"d.06.01","expanded","d.06.01","l6","podium apartments (sub-mains)"
,,"d.06.02","expanded","l6","podium apartments (sub-mains)","d.06.02"
,,"d.06.03","expanded","l6","podium apartments (sub-mains)","d.06.03"
,,"d.06.04","expanded","d.06.04","l6","podium apartments (sub-mains)"
,,"d.06.05","expanded","d.06.05","l6","podium apartments (sub-mains)"
,,"d.06.06","expanded","l6","podium apartments (sub-mains)","d.06.06"
,,"d.06.07","expanded","l6","podium apartments (sub-mains)","d.06.07"
,,"d.06.08","expanded","d.06.08","l6","podium apartments (sub-mains)"
,,"d.06.09","expanded","d.06.09","l6","podium apartments (sub-mains)"
,,"d.06.10","expanded","d.06.10","l6","podium apartments (sub-mains)"
,,"L7","grouping","podium apartments (sub-mains)","l7"
,,"d.07.01","expanded","d.07.01","podium apartments (sub-mains)","l7"
,,"d.07.02","expanded","podium apartments (sub-mains)","d.07.02","l7"
,,"d.07.03","expanded","d.07.03","podium apartments (sub-mains)","l7"
,,"d.07.04","expanded","d.07.04","podium apartments (sub-mains)","l7"
,,"d.07.05","expanded","podium apartments (sub-mains)","d.07.05","l7"
,,"d.07.06","expanded","podium apartments (sub-mains)","l7","d.07.06"
,,"d.07.07","expanded","d.07.07","podium apartments (sub-mains)","l7"
,,"d.07.08","expanded","d.07.08","podium apartments (sub-mains)","l7"
,,"d.07.09","expanded","podium apartments (sub-mains)","d.07.09","l7"
,,"d.07.10","expanded","d.07.10","podium apartments (sub-mains)","l7"
,,"L8","grouping","l8","podium apartments (sub-mains)"
,,"d.08.01","expanded","l8","d.08.01","podium apartments (sub-mains)"
,,"d.08.02","expanded","l8","d.08.02","podium apartments (sub-mains)"
,,"d.08.03","expanded","l8","podium apartments (sub-mains)","d.08.03"
,,"d.08.04","expanded","l8","d.08.04","podium apartments (sub-mains)"
,,"d.08.05","expanded","l8","d.08.05","podium apartments (sub-mains)"
,,"d.08.06","expanded","l8","podium apartments (sub-mains)","d.08.06"
,,"d.08.07","expanded","l8","podium apartments (sub-mains)","d.08.07"
,,"d.08.08","expanded","d.08.08","l8","podium apartments (sub-mains)"
,,"d.08.09","expanded","l8","d.08.09","podium apartments (sub-mains)"
,,"d.08.10","expanded","l8","podium apartments (sub-mains)","d.08.10"
,,"L9","grouping","l9","podium apartments (sub-mains)"
,,"L10","grouping","l10","podium apartments (sub-mains)"
,,"d.10.01","expanded","d.10.01","l10","podium apartments (sub-mains)"
,,"d.10.02","expanded","d.10.02","l10","podium apartments (sub-mains)"
,,"d.10.03","expanded","l10","podium apartments (sub-mains)","d.10.03"
,,"d.10.04","expanded","l10","podium apartments (sub-mains)","d.10.04"
,,"d.10.05","expanded","d.10.05","l10","podium apartments (sub-mains)"
,"Columns"
,,"1.4 SD Sewer Wastes & Vents (Low Level)",,"1.4 sd sewer wastes & vents (low level)"
,,"4.4 CW Cold Water Rough-in (Low Level)",,"4.4 cw cold water rough-in (low level)"
,,"5.4 HW Hot Water Rough-in (Low Level)",,"5.4 hw hot water rough-in (low level)"
,,"7.4 NG Natural Gas Rough-in (Low Level)",,"7.4 ng natural gas rough-in (low level)"
,,"2.4 SW Downpipes/Overflows (Balcony/RWO)",,"2.4 sw downpipes/overflows (balcony/rwo)"
,,"12.0 SC Sub-Contractor Works - Internal",,"12.0 sc sub-contractor works - internal"

"Plumbing - Tower Apartments (Fit-Off)"
,"Scope",,
,"Rows"
,,"Level 11","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","level 11"
,,"Level 12","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","level 12"
,,"Level 13","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","level 13"
,,"Level 14","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","level 14"
,,"Level 15","dynamic","tower-4","level 15","plumbing fit-off","tower apartments (fit-off)"
,,"Level 16","dynamic","level 16","tower-4","plumbing fit-off","tower apartments (fit-off)"
,,"Level 17","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","level 17"
,,"Level 18","dynamic","tower-4","plumbing fit-off","level 18","tower apartments (fit-off)"
,,"Level 19","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","level 19"
,,"Level 20","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","level 20"
,,"L21","dynamic","tower-4","plumbing fit-off","l21","tower apartments (fit-off)"
,,"L22","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l22"
,,"L23","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l23"
,,"L24","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l24"
,,"L25","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l25"
,,"L26","dynamic","tower-4","l26","plumbing fit-off","tower apartments (fit-off)"
,,"L27","dynamic","l27","tower-4","plumbing fit-off","tower apartments (fit-off)"
,,"L28","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l28"
,,"L29","dynamic","tower-4","plumbing fit-off","l29","tower apartments (fit-off)"
,,"L30","dynamic","l30","tower-4","plumbing fit-off","tower apartments (fit-off)"
,,"L31","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l31"
,,"L32","dynamic","tower-4","plumbing fit-off","l32","tower apartments (fit-off)"
,,"L33","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l33"
,,"L34","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l34"
,,"L35","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l35"
,,"L36","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l36"
,,"L37","dynamic","tower-4","l37","plumbing fit-off","tower apartments (fit-off)"
,,"L38","dynamic","l38","tower-4","plumbing fit-off","tower apartments (fit-off)"
,,"L39","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l39"
,,"L40","dynamic","tower-4","l40","plumbing fit-off","tower apartments (fit-off)"
,,"L41","dynamic","l41","tower-4","plumbing fit-off","tower apartments (fit-off)"
,,"L42","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l42"
,,"L44","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l44"
,,"L45","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l45"
,,"L46","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l46"
,,"L47","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l47"
,,"L48","dynamic","tower-4","l48","plumbing fit-off","tower apartments (fit-off)"
,,"L49","dynamic","l49","tower-4","plumbing fit-off","tower apartments (fit-off)"
,,"L50","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l50"
,,"L51","dynamic","tower-4","l51","plumbing fit-off","tower apartments (fit-off)"
,,"L52","dynamic","l52","tower-4","plumbing fit-off","tower apartments (fit-off)"
,,"L53","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l53"
,,"L54","dynamic","tower-4","plumbing fit-off","l54","tower apartments (fit-off)"
,,"L55","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l55"
,,"L56","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l56"
,,"L57","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l57"
,,"L58","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l58"
,,"L59","dynamic","tower-4","l59","plumbing fit-off","tower apartments (fit-off)"
,,"L60","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l60"
,,"L61","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l61"
,,"L62","dynamic","tower-4","l62","plumbing fit-off","tower apartments (fit-off)"
,,"L63","dynamic","l63","tower-4","plumbing fit-off","tower apartments (fit-off)"
,,"L64","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l64"
,,"L65","dynamic","tower-4","plumbing fit-off","l65","tower apartments (fit-off)"
,,"L66","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l66"
,,"L67","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l67"
,,"L68","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l68"
,,"L69","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l69"
,,"L70","dynamic","tower-4","plumbing fit-off","tower apartments (fit-off)","l70"
,"Columns"
,,"8.1 FO Toilets & Cisterns Installation",,"8.1 fo toilets & cisterns installation"
,,"8.3 FO Wash Basins & Tapware Installation",,"8.3 fo wash basins & tapware installation"
,,"8.4 FO Showers & Tapware Installation",,"8.4 fo showers & tapware installation"
,,"8.5 FO Baths & Tapware Installation",,"8.5 fo baths & tapware installation"
,,"8.6 FO Kitchen Sinks & Tapware Installation",,"8.6 fo kitchen sinks & tapware installation"
,,"8.7 FO Dishwashers Installation",,"8.7 fo dishwashers installation"
,,"8.8 FO Laundry Troughs & Tapware Installation",,"8.8 fo laundry troughs & tapware installation"
,,"8.9 FO Washing Machine Stops Installation",,"8.9 fo washing machine stops installation"
,,"8.10 FO Wall Tundishes Installation",,"8.10 fo wall tundishes installation"
,,"8.12 FO Thermostatic Mixing Valve (TMV) Installation",,"8.12 fo thermostatic mixing valve (tmv) installation"
,,"8.13 FO Tempering Valve (TV) Installation",,"8.13 fo tempering valve (tv) installation"
,,"8.14 FO Gas Cook-Top/Gas Appliance Installation",,"8.14 fo gas cook-top/gas appliance installation"

