"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b25b934f-02aa-4337-b85b-b854b3e68386","","not-started","SNSW Maintenance - Comms Rack - Final check","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Comms Rack - Final check"
"61871ef6-a797-4e72-bce0-af45df9d0782","","no-status-not-started","SNSW Maintenance - Test and Tag","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Test and Tag"
"fbd7250e-a8b9-4e2b-a65d-64bba32a2ca5","","not-started","SNSW Maintenance - Test and Tag - Final check","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Test and Tag - Final check"
"50c58488-c2c9-4f54-9b19-755bcb23a88c","","no-status-not-started","SNSW Maintenance - General maintenance","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - General maintenance"
"d709034a-7d24-4d0b-ac3f-8c2a4c12a240","","not-started","SNSW Maintenance - General maintenance - Final check","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - General maintenance - Final check"
"033bded3-4c81-4bd2-8042-c29901c254b6","","no-status-not-started","SNSW Maintenance - Additional Notes","checklist","FALSE","FALSE","Batemans Bay Service Centre","SNSW Maintenance - Additional Notes"
"efda7350-0dcc-44ec-99a8-c02595db9f2b","","not-started","","folder","TRUE","FALSE","Bathurst Service Centre"
"d763ca30-2c8c-450c-8955-88803770cd57","","no-status-not-started","SNSW Maintenance - Building details","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Building details"
"75397d28-a3ff-46d6-a34c-ab0fa3d631b5","","not-started","SNSW Maintenance - Site Information","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Site Information"
"b81026cd-5426-4320-b9af-fa1946288b3d","","not-started","SNSW Maintenance - Site information - Final check","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Site information - Final check"
"e3ae4843-fc93-4209-8134-429d5db7352a","","not-started","SNSW Maintenance - Emergency Lighting","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Emergency Lighting"
"676c4806-4f38-4061-a28d-4f9889c03ad1","","not-started","SNSW Maintenance - Emergency Lighting - Final check","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Emergency Lighting - Final check"
"c7156b0c-5a08-4bfa-b192-56539f5e95e8","","not-started","SNSW Maintenance - Lighting Audit","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Lighting Audit"
"6bff204f-3c0a-413c-bde0-f6c06b34aeb0","","not-started","SNSW Maintenance - Lighting Audit - Final check","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Lighting Audit - Final check"
"7ab22a20-4842-4e3f-a23a-2eca6b34c83b","","not-started","SNSW Maintenance - Distribution Board","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Distribution Board"
"22e466c3-f971-4adc-a693-3eaae360b3a2","","not-started","SNSW Maintenance - Distribution Board - Final check","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Distribution Board - Final check"
"3f6e5041-8e09-4b8d-b7f3-d71a0f3d71b7","","not-started","SNSW Maintenance - Thermal Imagery","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Thermal Imagery"
"1a550a4e-1979-4e64-88ec-dfab7cde6fd7","","not-started","SNSW Maintenance - Thermal Imagery - Final check","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Thermal Imagery - Final check"
"8e146e20-fe05-4ae7-bc8e-aa1e98b64127","","not-started","SNSW Maintenance - RCD Testing","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - RCD Testing"
"00a3643a-627c-41ab-873d-b0de0e4a989f","","not-started","SNSW Maintenance - Comms Rack","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Comms Rack"
"aabc96c5-6a4c-4a0c-8dfa-2b66c6b24a6d","","not-started","SNSW Maintenance - Comms Rack - Final check","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Comms Rack - Final check"
"84bcf48b-7a86-4894-8357-7ee4f0811d4e","","no-status-not-started","SNSW Maintenance - Test and Tag","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Test and Tag"
"e4ec200a-a298-4d87-a04b-27e487035dcd","","not-started","SNSW Maintenance - Test and Tag - Final check","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Test and Tag - Final check"
"570255c0-d983-4106-827c-6317f7232cbd","","no-status-not-started","SNSW Maintenance - General maintenance","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - General maintenance"
"6f299bb8-5088-4a90-a7fb-8ae23f6f0e32","","not-started","SNSW Maintenance - General maintenance - Final check","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - General maintenance - Final check"
"63fb5f16-1d5a-421c-bf91-948f622b0597","","no-status-not-started","SNSW Maintenance - Additional Notes","checklist","FALSE","FALSE","Bathurst Service Centre","SNSW Maintenance - Additional Notes"
"c5525d61-814f-4074-a2a1-5f2969171d36","","not-started","","folder","TRUE","FALSE","Bega Service Centre"
"ec6f3d14-e8af-491d-b1ae-409c56e36bbe","","no-status-not-started","SNSW Maintenance - Building details","checklist","FALSE","FALSE","Bega Service Centre","SNSW Maintenance - Building details"
"0e293f95-f77f-4155-8f6d-67c24a92f030","","not-started","SNSW Maintenance - Site Information","checklist","FALSE","FALSE","Bega Service Centre","SNSW Maintenance - Site Information"
"b98b1a3f-edad-4998-9a73-551fe611dcae","","not-started","SNSW Maintenance - Site information - Final check","checklist","FALSE","FALSE","Bega Service Centre","SNSW Maintenance - Site information - Final check"
