"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"13e4231a-374a-4535-b9f5-e8a771bdf1c1","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start 13/6"
"3f5172af-4fc7-462e-a301-27db3ddbe0e6","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start14/6"
"a6aa58e5-353f-40ab-8ff5-22ceb5c14546","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start15/6"
"01fbe356-1649-4040-aff5-a89fc2cb831c","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start16/6"
"e96c1fb9-b167-47a9-be93-a3c21985a4a2","","checklist-flat","not-started","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start19/6"
"33903e0b-3bed-4ab2-b3b2-ac4626edd0bc","","checklist-flat","not-started","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start20/6"
"00d5ffa0-49ea-4b1d-8276-573d31530269","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start21/6"
"f00f7473-25ac-4c34-a2ed-ff1ca172b0b2","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start22/6"
"169807e0-ed3e-49c4-bd18-784a502fd0f5","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start23/6"
"2418bc50-5d0f-4814-ad8d-17f3f1b734a9","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start26/6"
"d36ae25e-c676-437f-8228-290fa13e5bd7","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start27/6"
"b542ff7b-c14f-4f89-a642-f4f096e8d50a","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start28/6"
"1e5a956b-157b-4e33-bfc1-4abb3c459277","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start29/6"
"b912a677-2206-4b5d-9a3e-ef50b0f7f648","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jun 23","Daily Pre Start30/6"
"2b2a3922-89f2-4161-ac76-2dc4026d2696","","folder-normal","work-in-progress","","step","TRUE","FALSE","Pre Start","Jul 23"
"98e8a626-84eb-4d1b-a71a-9a8995238f08","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jul 23","Daily Pre Start10/7"
"9395c31a-e045-4111-9632-6409358efc7b","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jul 23","Daily Pre Start11/7"
"86e6ed08-f00d-4758-b1e7-06448a3d4ee1","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jul 23","Daily Pre Start31/7"
"7414f9a7-d097-4b6a-8142-c03b0dae3cb4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Pre Start","Aug 23"
"fab0b430-0b1b-4ec7-b95e-f4173ece8413","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Aug 23","Daily Pre Start1/8"
"41e185ac-8944-4ea6-8106-bab22f22ad9b","","checklist-flat","not-started","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Daily Pre Start 23/6"
"4d2c3917-58fa-49ef-89d6-2502dc93c7e7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Pre Start","September 2023"
"2bdfcbf6-27c1-44f3-9d50-a1f0fb3ccd1f","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","September 2023","Daily Pre Start 22/9"
"b27edf98-51d7-4c98-9be5-c6bd95ba056d","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","September 2023","Daily Pre Start 28/09/2023"
"718a078f-ea1a-433d-b4ca-b0edaa540745","","folder-normal","fail","","step","TRUE","FALSE","Incident Report"
"874545bf-084a-47eb-af41-c99ddf951ac1","","checklist-flat","pass","Injury Form","checklist-flat","FALSE","FALSE","Incident Report","Injury Form 16/03/23"
"17a2a122-78cb-4a74-b1c7-460e8f56fba1","","checklist-flat","fail","Injury Form","checklist-flat","FALSE","FALSE","Incident Report","Injury Form Leonard Spencer 20.06.2023"
"1d625d82-7a10-4aa9-be7c-bdd3037ed0c2","","checklist-flat","fail","Injury Form","checklist-flat","FALSE","FALSE","Incident Report","Injury Form Joe kemp 10.10.2023"
"ca7019e6-f428-4ec4-8d11-1507bb170647","","checklist-flat","work-in-progress","Injury Form","checklist-flat","FALSE","FALSE","Incident Report","Injury Form Gavin Grieve 13/10/2023"
"48c95a7c-0612-4d9d-9048-c5921a3d4674","","checklist-flat","work-in-progress","Injury Form","checklist-flat","FALSE","FALSE","Incident Report","Injury Form Nick Rekes 17/10/2023"
"6bd2315c-3bd3-4834-ae60-412c2f71329f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Weekly Labour Hire Control"
"49df922b-7e4a-4c2d-a24b-55fd3f33ea76","","folder-normal","pass","","step","TRUE","FALSE","Weekly Labour Hire Control","Feb 23"
"e8060db8-3e43-4f7c-b656-97e39d39603a","","checklist-flat","pass","Weekly Labour Hire Control","checklist-flat","FALSE","FALSE","Weekly Labour Hire Control","Feb 23","Weekly Labour 27/02/23 - 28/02/23"
"e6dcf4ea-3234-4561-bf20-0090f5c9ffc4","","checklist-flat","pass","Weekly Labour Hire Control","checklist-flat","FALSE","FALSE","Weekly Labour Hire Control","Feb 23","Weekly Labour 1/03/23 - 7/03/23"
"b074d444-1184-46ea-b81e-2d8c3b585196","","checklist-flat","pass","Weekly Labour Hire Control","checklist-flat","FALSE","FALSE","Weekly Labour Hire Control","Feb 23","Weekly Labour 8/03/23 - 14/03/23"
