ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Hawkins: Building North - Facade"
,"Scope",,
,"Rows"
,,"North Building","grouping","building b201 north","facade","envelope"
,,"201-3110 Air Intake - Riser 1",,"201-3110 air intake - riser 1"
,,"201-395A Riser",,"201-395a riser"
,,"Riser 8",,"riser 8"
,,"201-300C1 Circulation",,"201-300c1 circulation"
,,"201-300C2 Circulation",,"201-300c2 circulation"
,,"201-300C3 Circulation",,"201-300c3 circulation"
,,"201-300C4 Circulation",,"201-300c4 circulation"
,,"201-300C5 Circulation",,"201-300c5 circulation"
,,"201-391 Breakout",,"201-391 breakout"
,,"201-392 Breakout",,"201-392 breakout"
,,"201-394 Breakout",,"201-394 breakout"
,,"201-395 Breakout",,"201-395 breakout"
,,"201-300E6 Lift 6",,"201-300e6 lift 6"
,,"201-300L1 Wind Lobby",,"201-300l1 wind lobby"
,,"201-300L2 WC Lobby",,"201-300l2 wc lobby"
,,"201-3100 Female Toilets",,"201-3100 female toilets"
,,"201-393 Lecture Theater",,"201-393 lecture theater"
,,"201-393A Comms Room",,"201-393a comms room"
,,"201-396 Print Room",,"201-396 print room"
,,"201-397 Student Kitchen",,"201-397 student kitchen"
,,"201-398 Male Toilets",,"201-398 male toilets"
,,"201-399 C. C/BD",,"201-399 c. c/bd"
,,"201-494 DB",,"201-494 db"
,,"Level 4 - Zone A","grouping","level 4 - zone a"
,,"201-300S1 Stair 1",,"201-300s1 stair 1"
,,"201-401 SHWR",,"201-401 shwr"
,,"201-402 ACC",,"201-402 acc"
,,"201-403 Female",,"201-403 female"
,,"201-404 CLNR",,"201-404 clnr"
,,"201-405 Service Access",,"201-405 service access"
,,"201-406 Male",,"201-406 male"
,,"201-455 ACC",,"201-455 acc"
,,"201-457 Male",,"201-457 male"
,,"201-458 Female",,"201-458 female"
,,"201-400E1 Lift 1",,"201-400e1 lift 1"
,,"201-400E2 Lift 2",,"201-400e2 lift 2"
,,"201-400E3 Lift 3",,"201-400e3 lift 3"
,,"201-400E4 Lift 4",,"201-400e4 lift 4"
,,"201-400E5 Lift 5",,"201-400e5 lift 5"
,,"201-408 Riser 3",,"201-408 riser 3"
,,"201-417A Riser 2",,"201-417a riser 2"
,,"201-440A Riser 5",,"201-440a riser 5"
,,"201-454 Riser 6",,"201-454 riser 6"
,,"201-400L3 Lift Lobby",,"201-400l3 lift lobby"
,,"201-400L4 Lift Lobby",,"201-400l4 lift lobby"
,,"201-400L5 Lift Lobby",,"201-400l5 lift lobby"
,,"201-417 Shared Open Plan",,"201-417 shared open plan"
,,"201-416 Meeting",,"201-416 meeting"
,,"201-418 Meeting",,"201-418 meeting"
,,"201-419 Meeting",,"201-419 meeting"
,,"201-420 Print",,"201-420 print"
,,"201-426 Student Print",,"201-426 student print"
,,"201-428 Staff Meeting",,"201-428 staff meeting"
,,"201-440 Large Format Teaching 137p",,"201-440 large format teaching 137p"
,,"201-498 Parent's Room",,"201-498 parent's room"
,,"201-411 Office",,"201-411 office"
,,"201-412 Office",,"201-412 office"
,,"201-413 Office",,"201-413 office"
,,"201-414 Office",,"201-414 office"
,,"201-415 Office",,"201-415 office"
,,"201-400C7 Breakout",,"201-400c7 breakout"
,,"201-425 Breakout",,"201-425 breakout"
,,"201-430 Breakout",,"201-430 breakout"
,,"201-435 Breakout",,"201-435 breakout"
,,"201-439 Breakout",,"201-439 breakout"
,,"201-400C5 Circulation",,"201-400c5 circulation"
,,"201-400C6 Circulation",,"201-400c6 circulation"
,,"201-400C9 Circulation",,"201-400c9 circulation"
,,"201-400S4 Stair 4",,"201-400s4 stair 4"
,,"201-424 Comms",,"201-424 comms"
,,"201-439A LOBBY",,"201-439a lobby"
,,"201-439B LOBBY",,"201-439b lobby"
,,"201-452 Store",,"201-452 store"
,,"201-456 GN",,"201-456 gn"
,,"201-459 Service Access",,"201-459 service access"
,,"Ramp 5 RAMP",,"ramp 5 ramp"
,,"Level 5 - Zone A","grouping","level 5 - zone a"
,,"201-500L1 Lift Lobby",,"201-500l1 lift lobby"
,,"201-501 SHWR",,"201-501 shwr"
,,"201-502 ACC",,"201-502 acc"
,,"201-503 Female",,"201-503 female"
,,"201-504 CLNR",,"201-504 clnr"
,,"201-505 Service Access",,"201-505 service access"
,,"201-506 Male",,"201-506 male"
,,"201-555 ACC",,"201-555 acc"
,,"201-557 Male",,"201-557 male"
,,"201-558 Female",,"201-558 female"
,,"201-500E1 Lift 1",,"201-500e1 lift 1"
,,"201-500E2 Lift 2",,"201-500e2 lift 2"
,,"201-500E3 Lift 3",,"201-500e3 lift 3"
,,"201-500E4 Lift 4",,"201-500e4 lift 4"
,,"201-500E5 Lift 5",,"201-500e5 lift 5"
,,"201-508 Riser 3",,"201-508 riser 3"
,,"201-517 SOP",,"201-517 sop"
,,"201-554 Riser 6",,"201-554 riser 6"
,,"201-500C1 Circulation",,"201-500c1 circulation"
,,"201-500C2 Circulation",,"201-500c2 circulation"
,,"201-500C3 Circulation",,"201-500c3 circulation"
,,"201-500C4 Circulation",,"201-500c4 circulation"
,,"201-500C5 Office",,"201-500c5 office"
,,"201-500C6 Office",,"201-500c6 office"
,,"201-500C7 Office",,"201-500c7 office"
,,"201-511 Office",,"201-511 office"
,,"201-512 Office",,"201-512 office"
,,"201-513 Office",,"201-513 office"
,,"201-514 Office",,"201-514 office"
,,"201-515 Office",,"201-515 office"
,,"201-516 Office",,"201-516 office"
,,"201-517A Office",,"201-517a office"
,,"201-517B Office",,"201-517b office"
,,"201-517C Office",,"201-517c office"
,,"201-518 Office",,"201-518 office"
,,"201-519 Office",,"201-519 office"
,,"201-520 Office",,"201-520 office"
,,"201-521 Office",,"201-521 office"
,,"201-522 Office",,"201-522 office"
,,"201-523 Office",,"201-523 office"
,,"201-530 Office",,"201-530 office"
,,"201-535 Office",,"201-535 office"
,,"201-536 Office",,"201-536 office"
,,"201-537 Office",,"201-537 office"
,,"201-538 Office",,"201-538 office"
,,"201-539 Office",,"201-539 office"
,,"201-540 Office",,"201-540 office"
,,"201-541 Office",,"201-541 office"
,,"201-542 Office",,"201-542 office"
,,"201-543 Office",,"201-543 office"
,,"201-544 Office",,"201-544 office"
,,"201-545 Office",,"201-545 office"
,,"201-546 Office",,"201-546 office"
,,"201-547 Office",,"201-547 office"
,,"201-548A Office",,"201-548a office"
,,"201-548B Office",,"201-548b office"
,,"201-548C Office",,"201-548c office"
,,"201-549 Office",,"201-549 office"
,,"201-551 Office",,"201-551 office"
,,"201-500L2 Lift Lobby",,"201-500l2 lift lobby"
,,"201-500L3 Lift Lobby",,"201-500l3 lift lobby"
,,"201-526 MEETING",,"201-526 meeting"
,,"201-533 Print",,"201-533 print"
,,"201-548 SOP",,"201-548 sop"
,,"201-553 DB",,"201-553 db"
,,"201-556 GN",,"201-556 gn"
,,"201-559 Service Access",,"201-559 service access"
,,"201-510 PGR",,"201-510 pgr"
,,"201-531 PGR",,"201-531 pgr"
,,"201-532 PGR",,"201-532 pgr"
,,"201-552 PGR",,"201-552 pgr"
,,"201-524 Comms",,"201-524 comms"
,,"201-534 Breakout",,"201-534 breakout"
,,"Level 6 - Zone A","grouping","level 6 - zone a"
,,"201-617 SOP",,"201-617 sop"
,,"201-648 SOP",,"201-648 sop"
,,"201-611 Office",,"201-611 office"
,,"201-612 Office",,"201-612 office"
,,"201-613 Office",,"201-613 office"
,,"201-614 Office",,"201-614 office"
,,"201-615 Office",,"201-615 office"
,,"201-616 Office",,"201-616 office"
,,"201-617A Office",,"201-617a office"
,,"201-617B Office",,"201-617b office"
,,"201-617C Office",,"201-617c office"
,,"201-618 Office",,"201-618 office"
,,"201-619 Office",,"201-619 office"
,,"201-620 Office",,"201-620 office"
,,"201-621 Office",,"201-621 office"
,,"201-622 Office",,"201-622 office"
,,"201-623 Office",,"201-623 office"
,,"201-635 Office",,"201-635 office"
,,"201-636 Office",,"201-636 office"
,,"201-637 Office",,"201-637 office"
,,"201-638 Office",,"201-638 office"
,,"201-639 Office",,"201-639 office"
,,"201-640 Office",,"201-640 office"
,,"201-641 Office",,"201-641 office"
,,"201-642 Office",,"201-642 office"
,,"201-643 Office",,"201-643 office"
,,"201-644 Office",,"201-644 office"
,,"201-645 Office",,"201-645 office"
,,"201-646 Office",,"201-646 office"
,,"201-647 Office",,"201-647 office"
,,"201-648A Office",,"201-648a office"
,,"201-648B Office",,"201-648b office"
,,"201-648C Office",,"201-648c office"
,,"201-649 Office",,"201-649 office"
,,"201-651 Office",,"201-651 office"
,,"201-600 E1 Lift 1",,"201-600 e1 lift 1"
,,"201-600 E5 Lift 5",,"201-600 e5 lift 5"
,,"201-600 L1 Lift Lobby",,"201-600 l1 lift lobby"
,,"201-600 L2 Lift Lobby",,"201-600 l2 lift lobby"
,,"201-601 SHWR",,"201-601 shwr"
,,"201-602 ACC",,"201-602 acc"
,,"201-603 Female",,"201-603 female"
,,"201-604 CLNR",,"201-604 clnr"
,,"201-606 Male",,"201-606 male"
,,"201-607 DB",,"201-607 db"
,,"201-608 Riser 3",,"201-608 riser 3"
,,"201-610 L3 Lift Lobby",,"201-610 l3 lift lobby"
,,"201-654 Riser 6",,"201-654 riser 6"
,,"201-655 ACC",,"201-655 acc"
,,"201-656 GN",,"201-656 gn"
,,"201-657 Male",,"201-657 male"
,,"201-658 Female",,"201-658 female"
,,"201-779 DB",,"201-779 db"
,,"201-610 PGR",,"201-610 pgr"
,,"201-631 PGR",,"201-631 pgr"
,,"201-632 PGR",,"201-632 pgr"
,,"201-652 PGR",,"201-652 pgr"
,,"201-626 Meeting",,"201-626 meeting"
,,"201-630 Meeting",,"201-630 meeting"
,,"201-633 PRINT",,"201-633 print"
,,"201-634 BREAK OUT",,"201-634 break out"
,,"201-600C1 Circulation",,"201-600c1 circulation"
,,"201-600C2 Circulation",,"201-600c2 circulation"
,,"201-600C3 Circulation",,"201-600c3 circulation"
,,"201-600C4 Circulation",,"201-600c4 circulation"
,,"201-600C5 Circulation",,"201-600c5 circulation"
,,"201-600C6 Circulation",,"201-600c6 circulation"
,,"201-600C7 Circulation",,"201-600c7 circulation"
,,"201-605 Service Access",,"201-605 service access"
,,"201-659 Service Access",,"201-659 service access"
,,"Lift Lobby",,"lift lobby"
,,"201-700L1 Lift Lobby",,"201-700l1 lift lobby"
,,"201-700L2 Lift Lobby",,"201-700l2 lift lobby"
,,"201-700L3 Lift Lobby",,"201-700l3 lift lobby"
,,"201-724 Comms",,"201-724 comms"
,,"201-600E5 Lift 5",,"201-600e5 lift 5"
,,"201-700E1 Lift 2",,"201-700e1 lift 2"
,,"201-700E2 Lift 2",,"201-700e2 lift 2"
,,"201-700E3 Lift 3",,"201-700e3 lift 3"
,,"201-700E4 Lift 4",,"201-700e4 lift 4"
,,"201-700C1 Circulation",,"201-700c1 circulation"
,,"201-700C2 Circulation",,"201-700c2 circulation"
,,"201-700C4 Circulation",,"201-700c4 circulation"
,,"201-700C5 Circulation",,"201-700c5 circulation"
,,"201-700C6 Circulation",,"201-700c6 circulation"
,,"201-700C7 Circulation",,"201-700c7 circulation"
,,"201-717 SOP",,"201-717 sop"
,,"201-700C3 Office",,"201-700c3 office"
,,"201-711 Office",,"201-711 office"
,,"201-712 Office",,"201-712 office"
,,"201-713 Office",,"201-713 office"
,,"201-714 Office",,"201-714 office"
,,"201-715 Office",,"201-715 office"
,,"201-716 Office",,"201-716 office"
,,"201-717A HOS Office",,"201-717a hos office"
,,"201-717B Office",,"201-717b office"
,,"201-717C Store",,"201-717c store"
,,"201-718 Office",,"201-718 office"
,,"201-720 Office",,"201-720 office"
,,"201-722 Office",,"201-722 office"
,,"201-735 Office",,"201-735 office"
,,"201-736 Office",,"201-736 office"
,,"201-737 Office",,"201-737 office"
,,"201-738 Office",,"201-738 office"
,,"201-739 Office",,"201-739 office"
,,"201-740 Office",,"201-740 office"
,,"201-741 Office",,"201-741 office"
,,"201-742 Office",,"201-742 office"
,,"201-743 Office",,"201-743 office"
,,"201-744 Office",,"201-744 office"
,,"201-745 Office",,"201-745 office"
,,"201-746 Office",,"201-746 office"
,,"201-747 Office",,"201-747 office"
,,"201-748A Office",,"201-748a office"
,,"201-748B DEAN'S OFFICE",,"201-748b dean's office"
,,"201-749 Office",,"201-749 office"
,,"201-751 Office",,"201-751 office"
,,"201-702 ACC",,"201-702 acc"
,,"201-703 Female",,"201-703 female"
,,"201-704 CLNR",,"201-704 clnr"
,,"201-705 Service Access",,"201-705 service access"
,,"201-706 Male",,"201-706 male"
,,"201-708 Riser 3",,"201-708 riser 3"
,,"201-726 Meeting",,"201-726 meeting"
,,"201-730 Meeting",,"201-730 meeting"
,,"201-733 Print",,"201-733 print"
,,"201-734 Breakout",,"201-734 breakout"
,,"201-748 Breakout",,"201-748 breakout"
,,"201-754 Riser 6",,"201-754 riser 6"
,,"201-755 ACC",,"201-755 acc"
,,"201-758 Female",,"201-758 female"
,,"201-759 Service Access",,"201-759 service access"
,,"201-710 PGR",,"201-710 pgr"
,,"201-731 PGR",,"201-731 pgr"
,,"201-732 PGR",,"201-732 pgr"
,,"201-752 PGR",,"201-752 pgr"
,,"201-700S3 Stair 3",,"201-700s3 stair 3"
,,"201-700S5 Stair 5",,"201-700s5 stair 5"
,,"201-701 SHWR",,"201-701 shwr"
,,"201-707 DB",,"201-707 db"
,,"201-753 DB",,"201-753 db"
,,"201-756 GN",,"201-756 gn"
,,"Level 8 - Zone A","grouping","level 8 - zone a"
,,"201-824 Comms",,"201-824 comms"
,,"201-800E1 Lift 1",,"201-800e1 lift 1"
,,"201-800E2 Lift 4",,"201-800e2 lift 4"
,,"201-800E3 Lift 3",,"201-800e3 lift 3"
,,"201-800E4 Lift 2",,"201-800e4 lift 2"
,,"201-800E5 Lift 5",,"201-800e5 lift 5"
,,"201-800L1 Lift Lobby",,"201-800l1 lift lobby"
,,"201-800L2 Lift Lobby",,"201-800l2 lift lobby"
,,"201-800L3 LIFT LOBBY",,"201-800l3 lift lobby"
,,"201-800C1 Circulation",,"201-800c1 circulation"
,,"201-800C2 Circulation",,"201-800c2 circulation"
,,"201-800C3 Circulation",,"201-800c3 circulation"
,,"201-800C4 Circulation",,"201-800c4 circulation"
,,"201-800C5 Circulation",,"201-800c5 circulation"
,,"201-800C6 Circulation",,"201-800c6 circulation"
,,"201-800C7 CIRCULATION",,"201-800c7 circulation"
,,"201-800S3 Stair 3",,"201-800s3 stair 3"
,,"201-800S5 Stair 5",,"201-800s5 stair 5"
,,"201-801 SHWR",,"201-801 shwr"
,,"201-804 CLNR",,"201-804 clnr"
,,"201-805 Service Access",,"201-805 service access"
,,"201-817 SOP",,"201-817 sop"
,,"201-848 SOP",,"201-848 sop"
,,"201-859 Service Access",,"201-859 service access"
,,"201-811 Office",,"201-811 office"
,,"201-812 Office",,"201-812 office"
,,"201-813 Office",,"201-813 office"
,,"201-814 Office",,"201-814 office"
,,"201-815 Office",,"201-815 office"
,,"201-816 Office",,"201-816 office"
,,"201-817A Office",,"201-817a office"
,,"201-817B Office",,"201-817b office"
,,"201-817C Office",,"201-817c office"
,,"201-818 Office",,"201-818 office"
,,"201-819 Office",,"201-819 office"
,,"201-820 Office",,"201-820 office"
,,"201-821 Office",,"201-821 office"
,,"201-822 Office",,"201-822 office"
,,"201-823 Office",,"201-823 office"
,,"201-835 Office",,"201-835 office"
,,"201-836 Office",,"201-836 office"
,,"201-837 Office",,"201-837 office"
,,"201-838 Office",,"201-838 office"
,,"201-839 Office",,"201-839 office"
,,"201-840 Office",,"201-840 office"
,,"201-841 Office",,"201-841 office"
,,"201-842 Office",,"201-842 office"
,,"201-843 Office",,"201-843 office"
,,"201-844 Office",,"201-844 office"
,,"201-845 Office",,"201-845 office"
,,"201-846 Office",,"201-846 office"
,,"201-847 Office",,"201-847 office"
,,"201-848A Office",,"201-848a office"
,,"201-848B Office",,"201-848b office"
,,"201-848C Office",,"201-848c office"
,,"201-849 Office",,"201-849 office"
,,"201-851 Office",,"201-851 office"
,,"201-826 Meeting",,"201-826 meeting"
,,"201-830 Meeting",,"201-830 meeting"
,,"201-833 Print",,"201-833 print"
,,"201-802 ACC",,"201-802 acc"
,,"201-803 Female",,"201-803 female"
,,"201-806 Male",,"201-806 male"
,,"201-807 DB",,"201-807 db"
,,"201-808 Riser 3",,"201-808 riser 3"
,,"201-834 Breakout",,"201-834 breakout"
,,"201-854 Riser 6",,"201-854 riser 6"
,,"201-855 ACC",,"201-855 acc"
,,"201-856 GN",,"201-856 gn"
,,"201-857 Male",,"201-857 male"
,,"201-858 Female",,"201-858 female"
,,"201-810 PGR",,"201-810 pgr"
,,"201-831 PGR",,"201-831 pgr"
,,"201-832 PGR",,"201-832 pgr"
,,"201-852 PGR",,"201-852 pgr"
,,"Level 9 - Zone A","grouping","level 9 - zone a"
,,"201-924 Comms",,"201-924 comms"
,,"201-900E1 Lift 1",,"201-900e1 lift 1"
,,"201-900E2 Lift 2",,"201-900e2 lift 2"
,,"201-900E3 Lift 3",,"201-900e3 lift 3"
,,"201-900E4 Lift 4",,"201-900e4 lift 4"
,,"201-900E5 Lift 5",,"201-900e5 lift 5"
,,"201-900L1 Lift Lobby",,"201-900l1 lift lobby"
,,"201-900L2 Lift Lobby",,"201-900l2 lift lobby"
,,"201-900L3 Lift Lobby",,"201-900l3 lift lobby"
,,"201-900C1 Circulation",,"201-900c1 circulation"
,,"201-900C2 Circulation",,"201-900c2 circulation"
,,"201-900C4 Circulation",,"201-900c4 circulation"
,,"201-900C5 Circulation",,"201-900c5 circulation"
,,"201-900C6 Circulation",,"201-900c6 circulation"
,,"201-900C7 Circulation",,"201-900c7 circulation"
,,"201-900C3 Office",,"201-900c3 office"
,,"201-911 Office",,"201-911 office"
,,"201-912 Office",,"201-912 office"
,,"201-913 Office",,"201-913 office"
,,"201-914 Office",,"201-914 office"
,,"201-915 Office",,"201-915 office"
,,"201-916 Office",,"201-916 office"
,,"201-917A Office",,"201-917a office"
,,"201-917B Office",,"201-917b office"
,,"201-917C Office",,"201-917c office"
,,"201-918 Office",,"201-918 office"
,,"201-919 Office",,"201-919 office"
,,"201-920 Office",,"201-920 office"
,,"201-921 Office",,"201-921 office"
,,"201-922 Office",,"201-922 office"
,,"201-923 Office",,"201-923 office"
,,"201-935 Office",,"201-935 office"
,,"201-936 Office",,"201-936 office"
,,"201-937 Office",,"201-937 office"
,,"201-938 Office",,"201-938 office"
,,"201-939 Office",,"201-939 office"
,,"201-940 Office",,"201-940 office"
,,"201-941 Office",,"201-941 office"
,,"201-942 Office",,"201-942 office"
,,"201-943 Office",,"201-943 office"
,,"201-944 Office",,"201-944 office"
,,"201-945 Office",,"201-945 office"
,,"201-946 Office",,"201-946 office"
,,"201-947 Office",,"201-947 office"
,,"201-948A Office",,"201-948a office"
,,"201-948B Office",,"201-948b office"
,,"201-948C Office",,"201-948c office"
,,"201-949 Office",,"201-949 office"
,,"201-951 Office",,"201-951 office"
,,"201-917 SOP",,"201-917 sop"
,,"201-948 SOP",,"201-948 sop"
,,"201-900C3 Office",,"201-900c3 office"
,,"201-911 Office",,"201-911 office"
,,"201-912 Office",,"201-912 office"
,,"201-913 Office",,"201-913 office"
,,"201-914 Office",,"201-914 office"
,,"201-915 Office",,"201-915 office"
,,"201-916 Office",,"201-916 office"
,,"201-917A Office",,"201-917a office"
,,"201-917B Office",,"201-917b office"
,,"201-917C Office",,"201-917c office"
,,"201-918 Office",,"201-918 office"
,,"201-919 Office",,"201-919 office"
,,"201-920 Office",,"201-920 office"
,,"201-921 Office",,"201-921 office"
,,"201-922 Office",,"201-922 office"
,,"201-923 Office",,"201-923 office"
,,"201-935 Office",,"201-935 office"
,,"201-936 Office",,"201-936 office"
,,"201-937 Office",,"201-937 office"
,,"201-938 Office",,"201-938 office"
,,"201-939 Office",,"201-939 office"
,,"201-940 Office",,"201-940 office"
,,"201-941 Office",,"201-941 office"
,,"201-942 Office",,"201-942 office"
,,"201-943 Office",,"201-943 office"
,,"201-944 Office",,"201-944 office"
,,"201-945 Office",,"201-945 office"
,,"201-946 Office",,"201-946 office"
,,"201-947 Office",,"201-947 office"
,,"201-948A Office",,"201-948a office"
,,"201-948B Office",,"201-948b office"
,,"201-948C Office",,"201-948c office"
,,"201-949 Office",,"201-949 office"
,,"201-951 Office",,"201-951 office"
,,"201-900S3 Stair 3",,"201-900s3 stair 3"
,,"201-900S5 Stair 5",,"201-900s5 stair 5"
,,"201-900S7 Stair 7",,"201-900s7 stair 7"
,,"201-900S8 Stair 8",,"201-900s8 stair 8"
,,"201-901 SHWR",,"201-901 shwr"
,,"201-902 ACC",,"201-902 acc"
,,"201-903 Female",,"201-903 female"
,,"201-905 Service Access",,"201-905 service access"
,,"201-906 Male",,"201-906 male"
,,"201-908 Riser 3",,"201-908 riser 3"
,,"201-908 Riser 3",,"201-908 riser 3"
,,"201-954 Riser 6",,"201-954 riser 6"
,,"201-955 ACC",,"201-955 acc"
,,"201-956 GN",,"201-956 gn"
,,"201-957 Male",,"201-957 male"
,,"201-958 Female",,"201-958 female"
,,"201-959 Service Access",,"201-959 service access"
,,"201-910 PGR",,"201-910 pgr"
,,"201-931 PGR",,"201-931 pgr"
,,"201-932 PGR",,"201-932 pgr"
,,"201-952 PGR",,"201-952 pgr"
,,"201-926 Meeting",,"201-926 meeting"
,,"201-930 Meeting",,"201-930 meeting"
,,"201-933 Print",,"201-933 print"
,,"201-934 Breakout",,"201-934 breakout"
,,"Level 10 - Zone A","grouping","level 10 - zone a"
,,"201-1000E1 Lift",,"201-1000e1 lift"
,,"201-1000E5 Lift Overrun",,"201-1000e5 lift overrun"
,,"201-1000L1 Plantroom",,"201-1000l1 plantroom"
,,"201-1000L3 Plantroom",,"201-1000l3 plantroom"
,,"201-1000S7 Stair 7",,"201-1000s7 stair 7"
,,"201-1000S8 Stair 8",,"201-1000s8 stair 8"
,,"201-1008 RISER",,"201-1008 riser"
,,"201-1054 Riser",,"201-1054 riser"
,,"Level 11 - Zone A","grouping","level 11 - zone a"
,,"201-1100E1 Lift Overrun",,"201-1100e1 lift overrun"
,,"201-1101 Plant room",,"201-1101 plant room"
,,"201-1151 Plant Room",,"201-1151 plant room"
,"Columns"
,,"Aotea - Overall Progress",,"aotea b201"
,,"Hanlon - Overall Progress",,"hanlon auckland uni - b201"
,,"Caldwell Levesque - Overall Progress",,"caldwell - b201"
,,"Argus - Overall Progress",,"argus auckland uni - b201"
,,"Rokane - Aluminium Partitions",,"rokane b201","aluminium partitions"
,,"Rokane - Autex Installation",,"autex installation","rokane b201"
,,"Rokane - Screw Fix Ceilings",,"rokane b201","screw fix ceilings"
,,"Rokane - Suspended 2-way Ceiling",,"rokane b201","suspended 2-way ceiling"

"Bassett Plumbing & Drainage: Overall Progress"
,"Scope",,
,"Rows"
,,"1.Sewer","grouping","1.sewer","bassett uoa - b201"
,,"LINE 1 South Alley Way - SSMH2 to SDIC2(New Inspection Chamber)",,"1.sewer","bassett uoa - b201","line 1 south alley way - ssmh2 to sdic2(new inspection chamber)"
,,"LINE 2 South Alley Way - SDIC2(New Inspection Chamber) to SDEIC1",,"1.sewer","bassett uoa - b201","line 2 south alley way - sdic2(new inspection chamber) to sdeic1"
,,"LINE 3 South Alley Way - SDIC1 to Sanitary Drainage Sump",,"line 3 south alley way - sdic1 to sanitary drainage sump","1.sewer","bassett uoa - b201"
,,"LINE 4 South Alley Way - Existing MH11 to J Pit Rodding Eye",,"1.sewer","bassett uoa - b201","line 4 south alley way - existing mh11 to j pit rodding eye"
,,"LINE 5 South Alley Way - 100mm underslab pipework under Existing MH11 to J Pit Rodding Eye(grid line C20 to E23)",,"1.sewer","bassett uoa - b201","line 5 south alley way - 100mm underslab pipework under existing mh11 to j pit rodding eye(grid line c20 to e23)"
,,"LINE 6 South Alley Way - 100mm underslab pipework FWG to Existing Sanitary Chamber (between grid line C18 to C16)",,"line 6 south alley way - 100mm underslab pipework fwg to existing sanitary chamber (between grid line c18 to c16)","1.sewer","bassett uoa - b201"
,,"LINE 7 South Alley Way - FWG to be charged by mechanical condensate and plant hose taps to existing sanitary waste to be reused (between grid line C14 to E12)",,"line 7 south alley way - fwg to be charged by mechanical condensate and plant hose taps to existing sanitary waste to be reused (between grid line c14 to e12)","1.sewer","bassett uoa - b201"
,,"LINE 8 South Alley Way - sanitary drainage serving plant room sump to existing sanitary waste to be reused (between grid line C10 to E11)",,"line 8 south alley way - sanitary drainage serving plant room sump to existing sanitary waste to be reused (between grid line c10 to e11)","1.sewer","bassett uoa - b201"
,,"LINE 9 South Alley Way - FWG to be charged by mechanical condensate and plant hose taps to existing sanitary waste to be reused (between grid line C9 to E)",,"1.sewer","line 9 south alley way - fwg to be charged by mechanical condensate and plant hose taps to existing sanitary waste to be reused (between grid line c9 to e)","bassett uoa - b201"
,,"LINE 10 New Sanitary Waste Manhole - New Sanitary Waste Manhole  to lift pit sump pump(201 pump 1-9)",,"1.sewer","bassett uoa - b201","line 10 new sanitary waste manhole - new sanitary waste manhole  to lift pit sump pump(201 pump 1-9)"
,,"LINE 10.1 New Sanitary Waste Manhole - 150mm &100mm underslab pipework from New SSMH to Grid line E6",,"1.sewer","bassett uoa - b201","line 10.1 new sanitary waste manhole - 150mm &100mm underslab pipework from new ssmh to grid line e6"
,,"LINE 10.2 New Sanitary Waste Manhole - 150mm &100mm underslab pipework from New SSMH to Grid line C1 and D1",,"1.sewer","bassett uoa - b201","line 10.2 new sanitary waste manhole - 150mm &100mm underslab pipework from new ssmh to grid line c1 and d1"
,,"LINE 10.3 New Sanitary Waste Manhole - 225mm Sewer pipework from New SSMH to Wynyard St",,"1.sewer","bassett uoa - b201","line 10.3 new sanitary waste manhole - 225mm sewer pipework from new ssmh to wynyard st"
,,"LINE 11 Wynyard St - 150mm & 225m Sewer pipework from J Pit Rodding eye(A15) to Connection of Existing SS pipe (under Grid line A3)",,"line 11 wynyard st - 150mm & 225m sewer pipework from j pit rodding eye(a15) to connection of existing ss pipe (under grid line a3)","1.sewer","bassett uoa - b201"
,,"2.Stormwater","grouping","2.stormwater","bassett uoa - b201"
,,"LINE A1 South Alley Way - Proposed SW Pipe 150OD(under Gird lineK15) to New SWMH2",,"2.stormwater","line a1 south alley way - proposed sw pipe 150od(under gird linek15) to new swmh2","bassett uoa - b201"
,,"LINE A2 South Alley Way - Proposed Cesspit 675x450 (under Gird lineK15) to New SWMH2",,"2.stormwater","bassett uoa - b201","line a2 south alley way - proposed cesspit 675x450 (under gird linek15) to new swmh2"
,,"LINE B1 South Alley Way - New SWMH3 to New SWMH2",,"2.stormwater","bassett uoa - b201","line b1 south alley way - new swmh3 to new swmh2"
,,"LINE B2 South Alley Way - New SWMH3 to New 375mm PVC Pipe(Grid line D10 to G19)",,"2.stormwater","bassett uoa - b201","line b2 south alley way - new swmh3 to new 375mm pvc pipe(grid line d10 to g19)"
,,"LINE C1 South Alley Way - New SWMH3 to New SWMH4",,"2.stormwater","bassett uoa - b201","line c1 south alley way - new swmh3 to new swmh4"
,,"LINE C2 South Alley Way - New SWMH4 to Additional SW manhole per Beca-CAN-0002238",,"2.stormwater","bassett uoa - b201","line c2 south alley way - new swmh4 to additional sw manhole per beca-can-0002238"
,,"LINE C3 South Alley Way - Additional SW manhole per Beca-CAN-0002238 to SWE2",,"2.stormwater","line c3 south alley way - additional sw manhole per beca-can-0002238 to swe2","bassett uoa - b201"
,,"LINE D Wynyard St - Stormwater pipe work along Wynyard St.(Grid line A)",,"2.stormwater","bassett uoa - b201","line d wynyard st - stormwater pipe work along wynyard st.(grid line a)"
,,"LINE E Symonds Street - SWMH1 & Stormwater pipe work",,"2.stormwater","bassett uoa - b201","line e symonds street - swmh1 & stormwater pipe work"
,,"3. Subsoil Drainage","grouping","bassett uoa - b201","3. subsoil drainage"
