"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bf2e21f8-8952-4cc0-ae6f-8729dc68b00f","","not-started","PM - Residential HVAC - Tuesday","checklist","FALSE","FALSE","Tasks","August 12, 2024 - August 16, 2024","Tuesday"
"d50294f7-9e35-4301-a2a1-415a26bb886b","","not-started","PM - Residential HVAC - Wednesday","checklist","FALSE","FALSE","Tasks","August 12, 2024 - August 16, 2024","Wednesday"
"38086555-dc23-416d-92ab-013a74d19db5","","not-started","PM - Residential HVAC - Thursday","checklist","FALSE","FALSE","Tasks","August 12, 2024 - August 16, 2024","Thursday"
"57376a3f-19f8-411b-81de-61203de32275","","not-started","PM - Residential HVAC - Friday","checklist","FALSE","FALSE","Tasks","August 12, 2024 - August 16, 2024","Friday"
"daea811b-6c79-48c5-8df0-5af827935a4f","","not-started","","folder","TRUE","FALSE","Tasks","August 19, 2024 - August 23, 2024"
"e5ce0757-8176-4c1b-afda-2fddb9097c45","","not-started","PM - Residential HVAC - Monday","checklist","FALSE","FALSE","Tasks","August 19, 2024 - August 23, 2024","Monday"
"171c1372-b11e-494f-b2bc-3d33eeeadbea","","not-started","PM - Residential HVAC - Tuesday","checklist","FALSE","FALSE","Tasks","August 19, 2024 - August 23, 2024","Tuesday"
"430ce32b-dc30-414a-8884-7ff1c7b8e062","","not-started","PM - Residential HVAC - Wednesday","checklist","FALSE","FALSE","Tasks","August 19, 2024 - August 23, 2024","Wednesday"
"ff98f301-1bed-47f2-9ffb-05c43eca9f6d","","not-started","PM - Residential HVAC - Thursday","checklist","FALSE","FALSE","Tasks","August 19, 2024 - August 23, 2024","Thursday"
"2b8106b7-dbfd-4787-b56a-8b3a4b20c977","","not-started","PM - Residential HVAC - Friday","checklist","FALSE","FALSE","Tasks","August 19, 2024 - August 23, 2024","Friday"
"4cf2b2de-afdf-46c3-9302-fd43d2e10fc1","","not-started","","folder","TRUE","FALSE","Tasks","August 26, 2024 - August 30, 2024"
"87310cfa-b7b1-416d-be61-30008f9e605b","","not-started","PM - Residential HVAC - Monday","checklist","FALSE","FALSE","Tasks","August 26, 2024 - August 30, 2024","Monday"
"3bc3fc28-f332-4447-9606-23e677e1c98f","","not-started","PM - Residential HVAC - Tuesday","checklist","FALSE","FALSE","Tasks","August 26, 2024 - August 30, 2024","Tuesday"
"4a29c0cc-0690-4600-a8fa-e039ae861967","","not-started","PM - Residential HVAC - Wednesday","checklist","FALSE","FALSE","Tasks","August 26, 2024 - August 30, 2024","Wednesday"
"d8074cf5-46dc-4540-a56d-f968ccaa1231","","not-started","PM - Residential HVAC - Thursday","checklist","FALSE","FALSE","Tasks","August 26, 2024 - August 30, 2024","Thursday"
"66f0dea3-4138-408b-848c-d118180335b5","","not-started","PM - Residential HVAC - Friday","checklist","FALSE","FALSE","Tasks","August 26, 2024 - August 30, 2024","Friday"
"ba43e081-19ef-4b9e-8e80-67b519a55a5a","","not-started","","folder","TRUE","FALSE","Tasks","September 2, 2024 - September 6, 2024"
"b4445ab5-8815-433c-ac4b-d2077fde551c","","not-started","PM - Residential HVAC - Monday","checklist","FALSE","FALSE","Tasks","September 2, 2024 - September 6, 2024","Monday"
"f596f67d-c98d-4e11-a2dd-591f83be8923","","not-started","PM - Residential HVAC - Tuesday","checklist","FALSE","FALSE","Tasks","September 2, 2024 - September 6, 2024","Tuesday"
"cd0a742f-c844-413b-9370-39b35bf6222b","","not-started","PM - Residential HVAC - Wednesday","checklist","FALSE","FALSE","Tasks","September 2, 2024 - September 6, 2024","Wednesday"
"b810d3e0-3dd7-40f2-8e87-661bc9ab451c","","not-started","PM - Residential HVAC - Thursday","checklist","FALSE","FALSE","Tasks","September 2, 2024 - September 6, 2024","Thursday"
