"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4c0224bc-5aec-4011-8059-cef500ae2401","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 4 DB 1","AE-ITCX-001 - Temp DB Checklist"
"d0a37921-e0a1-475d-9952-68a28f765921","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 4 DB 1","AE-ITCX-002 - Monthly RCD Test Sheet"
"66299073-09b9-4e1d-a912-42ebe9c893a0","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 4 DB 1","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"9b9a60f3-6e45-479d-b06a-1c396527dfac","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 4 DB 2"
"9e4f94ce-2d25-41df-b5ca-15d7d83f9533","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 4 DB 2","AE-ITCX-001 - Temp DB Checklist"
"39e22e6c-6951-412e-aad8-6130788c4193","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 4 DB 2","AE-ITCX-002 - Monthly RCD Test Sheet"
"a1f8e9e0-905e-45d4-970b-aaffc9c9105a","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 4 DB 2","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"04d9bcef-efaf-4ca1-a2b8-b72143ba5937","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 5 DB 1"
"ec6f66fa-7d1b-488a-810c-a2cd33be2a76","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 5 DB 1","AE-ITCX-001 - Temp DB Checklist"
"322d1289-23b5-4031-a2bb-41150adb4017","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 5 DB 1","AE-ITCX-002 - Monthly RCD Test Sheet"
"a94027d0-1cc7-4957-9535-11fc94bb31ca","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 5 DB 1","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"e63768ae-ccfc-439a-a17d-b569c3013373","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 5 DB 2"
"d2dca397-a732-4e1f-aaa5-4c33a30c1ba8","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 5 DB 2","AE-ITCX-001 - Temp DB Checklist"
"0cb4cbbd-0397-430e-88ad-c85e65f1bedd","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 5 DB 2","AE-ITCX-002 - Monthly RCD Test Sheet"
"45ba4dfc-d9f0-464c-ac75-c50401ff54aa","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 5 DB 2","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"c85eaf08-7747-4f4c-9c7a-2c0924d279ab","","folder-normal","","","step","TRUE","FALSE","Conduit"
"94580b76-0288-471a-8106-a411ca930bc1","","checklist-flat","","AE-ITCX-007 - Conduit Checklist (Rev 0 +Names)","checklist-flat","FALSE","FALSE","Conduit","Basement CEP"
"ee051234-3f36-4c77-831e-d34b1754fa94","","checklist-flat","","AE-ITCX-007 - Conduit Checklist (Rev 0 +Names)","checklist-flat","FALSE","FALSE","Conduit","Basement Service Tunnel"
"811a4828-3fc6-4a98-a96e-715d16825718","","checklist-flat","","AE-ITCX-007 - Conduit Checklist (Rev 0 +Names)","checklist-flat","FALSE","FALSE","Conduit","Ground Floor"
"165d98f3-1bd6-4b7f-a440-1a6870a74d32","","checklist-flat","","AE-ITCX-007 - Conduit Checklist (Rev 0 +Names)","checklist-flat","FALSE","FALSE","Conduit","Level 1"
"43d09980-a8dd-42f0-888e-bee6e4dae60d","","checklist-flat","","AE-ITCX-007 - Conduit Checklist (Rev 0 +Names)","checklist-flat","FALSE","FALSE","Conduit","Level 2"
"4cd2fe32-4bac-46ed-8e88-a95f6bde7ec1","","checklist-flat","","AE-ITCX-007 - Conduit Checklist (Rev 0 +Names)","checklist-flat","FALSE","FALSE","Conduit","Level 3"
"15d8d06c-d115-42d3-9192-721fdf09ea83","","checklist-flat","","AE-ITCX-007 - Conduit Checklist (Rev 0 +Names)","checklist-flat","FALSE","FALSE","Conduit","Level 4"
"fd6e23ad-d8b7-41a2-a000-88e55e137224","","checklist-flat","","AE-ITCX-007 - Conduit Checklist (Rev 0 +Names)","checklist-flat","FALSE","FALSE","Conduit","Level 5 / Roof"
"369841cc-e9ee-4b5f-9999-a6ddea0d7c0f","","folder-normal","","","step","TRUE","FALSE","House/Common area"
"32dbd072-8ff6-4d9e-9e02-2f0886007578","","folder-normal","","","step","TRUE","FALSE","House/Common area","Distribution boards and sub-circuits"
"1b8927b1-7deb-4775-bc78-c859754a2788","","folder-normal","","","step","TRUE","FALSE","House/Common area","Distribution boards and sub-circuits","Basement"
"96e26157-a5c6-474a-84ab-2aa523563cbc","","folder-normal","","","step","TRUE","FALSE","House/Common area","Distribution boards and sub-circuits","Basement","DB.UPS.BASEMENT"
"c9bd3bc5-7fda-414a-912e-11744d85cb97","","checklist-sectioned","","AE-ITCX-029 - Rough-In Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","House/Common area","Distribution boards and sub-circuits","Basement","DB.UPS.BASEMENT","Rough in"
"765ba6f0-feb9-441c-87c6-5ffa5f1702ea","","checklist-flat","","AE-ITCX-030 - Cut-Out Sheet (Rev 0 +Names)","checklist-flat","FALSE","FALSE","House/Common area","Distribution boards and sub-circuits","Basement","DB.UPS.BASEMENT","Cut out"
