"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b68768fe-6c0c-4bf9-b2d8-ec64570cff6e","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 09","QA- waterproofing"
"98865647-020c-467a-8caa-89de48cf089f","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 09","QA- Tiling Installation walls"
"30bc8098-5851-4d98-829c-ffaf14ac2c67","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 09","QA-Other Information"
"4525935c-f82e-49f4-8ae4-a8c1558773f3","","not-started","","folder","TRUE","FALSE","Level 1","L1 10"
"c973332f-2162-4b38-8894-a59b68c56ce6","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 10","QA- Wall/Floor prep"
"4a59fb96-3520-45ed-9c18-3d31e8eed921","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 10","QA- waterproofing"
"e4044e0d-9cdf-4800-8f1b-db70825ed83e","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 10","QA- Tiling Installation walls"
"02f6ba8a-a078-4dd5-93b5-add9aee33253","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 10","QA-Other Information"
"5c1aa1ae-15b2-439d-8500-a7d3c81b5a79","","not-started","","folder","TRUE","FALSE","Level 1","L1 11"
"9825af35-80aa-42f0-9ed7-3e325abc03d0","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 11","QA- Wall/Floor prep"
"23912cb4-8262-4b28-9d21-6e0ee75f234d","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 11","QA- waterproofing"
"1d2cdbce-53bd-498d-b927-849b3a7f9dd7","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 11","QA- Tiling Installation walls"
"73599e22-64de-4fd3-9f16-a7b098a39f2a","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 11","QA-Other Information"
"7c459c0b-8a46-41c7-bbce-0f8a82383a21","","not-started","","folder","TRUE","FALSE","Level 1","L1 12"
"43902e9d-9bea-489f-add2-a5f47cd83e2e","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 12","QA- Wall/Floor prep"
"f8f22c3c-bddc-4018-ade6-65809666f75f","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 12","QA- waterproofing"
"6426c57a-a584-48bf-8d74-c513539979ae","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 12","QA- Tiling Installation walls"
"876573a5-0321-4222-b88a-a9ef92342ae0","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 12","QA-Other Information"
"30d51ce3-6919-4235-977e-611d662477b5","","not-started","","folder","TRUE","FALSE","Level 1","L1 13"
"eee55d9f-9b6e-4e16-8693-2d7720e822a2","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 13","QA- Wall/Floor prep"
"fbc8b5f3-e18a-4760-83f1-5ecc4b42f2fe","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 13","QA- waterproofing"
"381a6428-fd3c-4d5d-a4eb-126cebb3c578","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 13","QA- Tiling Installation walls"
"caf0ff1a-fc9f-4a7c-93ca-505a56af37e2","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 13","QA-Other Information"
"8b4d6b92-7815-4fb4-918d-f8a5ce7d41f1","","not-started","","folder","TRUE","FALSE","Level 1","L1 14"
"e2871389-2601-4ee9-92ee-3222dc84ea39","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 14","QA- Wall/Floor prep"
"c3b5dfd1-7ee8-4275-b6d2-e13694662943","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 14","QA- waterproofing"
"5138c027-fbd8-4d3f-b626-9768109f2bdb","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 1","L1 14","QA- Tiling Installation walls"
"0c1944d8-e133-4bce-b208-9721dda4c175","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 1","L1 14","QA-Other Information"
"84afcc93-3b39-45a7-bfb5-9868168a96de","","not-started","","folder","TRUE","FALSE","Level 1","L1 15"
"52936de7-3688-48dd-81f4-fd383b3790e5","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 1","L1 15","QA- Wall/Floor prep"
"d382dc3f-ada3-45cc-a592-f3df2ab5c995","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 1","L1 15","QA- waterproofing"
