"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ae574ca0-b36c-4507-95b8-667fafe9072e","","checklist-sectioned","work-in-progress","Install QA","checklist","FALSE","FALSE","Level 04","East Tower","W.04.11.7"
"12ecca04-d506-4056-b726-b5a65a3b5b7c","","checklist-flat","not-started","Backing Rubber Replacement","checklist-flat","FALSE","FALSE","Level 04","East Tower","W.04.11.7 (Backing Rubber Replacement)"
"9a67fe85-7723-4db6-b921-db50f45dbecf","","folder-normal","not-started","","step","TRUE","FALSE","Level 04","Townhouse"
"0dbd1685-b085-4b3a-a755-44572b6722df","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.16.O"
"e178670b-4a96-4cc6-b3b5-40da60feebe7","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.17.O"
"ebdb7c7d-22f7-4d75-b996-b84981100359","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.18.O"
"233db567-97ba-4cf7-a698-00e96477c288","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.19.O"
"e1be2a40-cffa-4e26-a667-c1cdc38d2d99","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.20.O"
"9f9638a2-5966-4760-9bdb-59a2877ac666","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","Townhouse","W.04.21.O"
"4e464190-4046-4550-8f8f-c01d25b7f35a","","folder-normal","not-started","","step","TRUE","FALSE","Level 04","CW West Tower"
"10636cfb-53b1-4415-97da-dca713c453ee","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","CW West Tower","W.04.16.33"
"92bb9714-b133-4e8a-81a9-d1f03ce902ac","","folder-normal","not-started","","step","TRUE","FALSE","Level 04","CW East Tower"
"5a1ccef4-78f7-49ff-9c32-5bad8500eee9","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 04","CW East Tower","W.04.08.31"
"08fd51e4-c932-4a78-8d6e-72b888b3637f","","folder-normal","not-started","","step","TRUE","FALSE","Level 05"
"9aa1e2de-beb7-4091-a354-3030e05ffb29","","folder-normal","not-started","","step","TRUE","FALSE","Level 05","West Tower"
"a58a7670-abe7-42d6-afdd-4d5d05af4871","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.01.16"
