"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"577c8e34-2141-432c-820a-132f568c99aa","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 12","West","Slab","Mechanical Services"
"11a183ee-68d5-4637-aa66-09b2efc52767","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 12","North"
"9bd4cbaa-f814-4a0b-a68f-457553e9bb9e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 12","North","Slab"
"533e9857-9a89-4c07-ba71-a2dbe1ba3745","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 12","North","Slab","Mechanical Services"
"c359d7e1-0810-4a3b-9d53-f35a177718aa","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 13"
"91bf1803-cc5c-49dd-bc02-04281569bc09","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 13","South"
"0911ec70-e47b-40f8-b353-e95e05040588","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 13","South","Slab"
"112bb738-2d8f-45d1-8d08-e9677dff3cad","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 13","South","Slab","Mechanical Services"
"dce55b9b-8b39-4d8a-8c67-8a14998f7078","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 13","West"
"42280e57-4a77-44b7-8699-e235bbf94790","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 13","West","Slab"
"c13eb48d-edd7-4d98-b64e-14ec5d26e2c3","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 13","West","Slab","Mechanical Services"
"992e21aa-4125-42d9-af85-3082bfc6e19f","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 13","North"
"c8b7eb59-3cae-409d-b269-9229e5e8d42b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 13","North","Slab"
"c4d769e7-0528-469b-bfdb-79b573b9b00a","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 13","North","Slab","Mechanical Services"
"29c6c058-017b-4f63-be5f-91c3463150a9","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 14"
"35f14b1c-66d3-4658-8e07-cce387805884","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 14","South"
"d3d46e4f-31d6-45d7-b79e-b54bcebd8229","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 14","South","Slab"
"b1a8afa4-327c-468c-b4b8-d9ee18a2c1b4","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 14","South","Slab","Mechanical Services"
"671ae4be-5060-49a3-9d5e-b6b4f14bf334","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 14","West"
"a08afad8-b0df-4724-a3b9-aa64ee98d027","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 14","West","Slab"
"4c7c69e6-36d3-41d8-b2d4-c6e5303c9899","","checklist-flat","pass","ITC - A0083 - In Slab Inspection","checklist-flat","FALSE","FALSE","Site QA","Slab Cast Ins","Level 14","West","Slab","Mechanical Services"
"aab94701-9f73-4838-bd81-f6b505439f92","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Slab Cast Ins","Level 14","North"
