"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5dee109a-950a-477c-b609-2044401c9bbc","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shoring Piles","Shoring Wall 2"
"e7941422-fc48-4a54-800e-bd339a02d988","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shoring Piles","Shoring Wall 3"
"39efe122-84cf-4ac0-8cc5-a84329bdffcb","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shoring Piles","Shoring Wall 4"
"4cfa7a74-8476-4374-b6ae-daf413592b33","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shoring Piles","Shoring Wall 5"
"7368b6aa-1aed-4113-a92b-d937dd00c10c","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shoring Piles","Shoring Wall 6"
"79503b2e-f632-463c-8768-d314c7d9a82a","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shoring Piles","Shoring Wall 7"
"2a0ca0f4-dc50-4c70-91d3-4692ae3c11a3","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 3","Shotcrete"
"bb021903-2207-4bb5-821b-cfd661f223db","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shotcrete","Shoring Wall 1"
"5c8539cd-4ba1-4dd4-a982-89173c15aa37","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shotcrete","Shoring Wall 2"
"4185e72c-3eac-4926-b800-efd759e6794e","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shotcrete","Shoring Wall 3"
"094a35e6-aa87-4fe4-96b2-473bd6a67f4f","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shotcrete","Shoring Wall 4"
"66cad262-7e68-4ffd-854b-4d80bc0b7c59","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shotcrete","Shoring Wall 5"
"8dfc4ab4-bb56-44b8-bbee-d310d9b99716","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shotcrete","Shoring Wall 6"
"c78cce0d-2771-470b-a8eb-7ecf55a17da3","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Shotcrete","Shoring Wall 7"
"663c2d48-9a5e-4f21-bc68-70f3aedb75e8","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 3","Anchors"
"4b58af3d-25cb-45d7-9cdc-da866e0b9b36","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Anchors","Shoring Wall 1"
"dee0dc60-06dc-4ff1-aa9d-65f7e875adda","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Anchors","Shoring Wall 2"
"0259dce6-10c9-4db0-9d8e-39dceedae778","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Anchors","Shoring Wall 3"
"4b756903-f0ca-4c75-a49a-d184ed24904f","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Anchors","Shoring Wall 4"
"2c144041-16e3-4904-a9aa-21609d51d509","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Anchors","Shoring Wall 5"
"a833287b-39f9-4a44-95e1-397614779a46","","checklist-sectioned","pass","Rock Anchoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 3","Anchors","Shoring Wall 6"
