"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"59507786-2393-460b-85ab-e33a8e441049","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Lift","BZ-P02"
"3c992899-ee79-47a8-a41e-c41a50305202","","checklist-sectioned","work-in-progress","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Lift","BZ-P03"
"800ac528-4912-4db2-a2c8-f831d0b505de","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Lift","BZ-P04"
"7b67cbea-f46c-472e-b1a4-931491eea2a6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair"
"14cb2bb4-6206-4fd1-98fe-8f5e9e3df83f","","checklist-sectioned","work-in-progress","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P06"
"6a8d1c56-de51-4913-9593-9083acf3273f","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P07"
"407a3232-6328-44f8-8f31-f3c0959def28","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P08"
"029ec59f-1458-4021-99b0-58ae7cd78e5e","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P09"
"98253556-ddcc-4337-bd2a-2c9c261eb854","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P10"
"295b4314-6d6a-4a6d-b14a-bee006fd3198","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P11"
"ffd772a1-0049-49a6-8465-8a76446939fd","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P12"
"0895faa5-de76-4412-9a00-6f1d00b10202","","checklist-sectioned","work-in-progress","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P13"
"2dfe3884-d7d9-46be-828b-2dcde9a57d57","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P15"
"3b1c738c-be5f-4bd4-b0c9-2a4be069fa22","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P16"
"572315bd-b827-4e0e-93ee-2ff67080909b","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P17"
"608d2607-4d0e-45da-b7a2-2a49bb761cab","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P18"
"f86a71be-a281-4f9e-b3ff-a6cc73703b1c","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P19"
"91d344c0-f5ed-42d9-bd9d-3b9bec7d77e0","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P20"
"2e98fe72-2dd0-4655-a4e9-734742b76555","","checklist-sectioned","work-in-progress","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P21"
"82dcab9e-225e-4326-88c9-ab874d914f94","","checklist-sectioned","work-in-progress","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P22"
"a7f0dc71-87b9-4db3-9cc9-8cb8e81797fe","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P24"
"b6faa796-29ea-4e22-85c1-959e53581dd5","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P25"
"aaaa504c-14da-4243-ab7c-fa2c50f01854","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P26"
"3d00bbc2-b805-4177-b473-335b50cf07a4","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P27"
"0cb65f28-8766-4cdc-9120-ed39acb761c4","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P28"
"9792c34c-9683-4f50-a56d-e058aaa85333","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P29"
"6d9c525e-7929-4d4c-8948-4306f7810e06","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P30"
"992741a8-e178-4efe-b422-df0af646909e","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Core Stair","BZ-P31"
"8343f25d-6423-40af-837b-24537f799ad0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building Z","Manufacture QA","Level BZ","Landing"
"5e124962-2b9d-413e-9ee0-5015ee5a741f","","checklist-sectioned","pass","Manufacturing Checklist","checklist","FALSE","FALSE","Building Z","Manufacture QA","Level BZ","Landing","BZ-LD01"
