Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Aspire Tower (Hickory) - Floor/Wall Penetrations,,,,,,
,Scope,,,,,
,Rows,,,,,
,,Level 35,,zone 1,gravity hydraulics (mains),level 35
,,Level 36,,level 36,zone 1,gravity hydraulics (mains)
,,Level 37,,level 37,zone 1,gravity hydraulics (mains)
,,Level 38,,level 38,zone 1,gravity hydraulics (mains)
,,Level 39,,level 39,zone 1,gravity hydraulics (mains)
,,Level 40,,level 40,zone 1,gravity hydraulics (mains)
,,Level 41,,level 41,zone 1,gravity hydraulics (mains)
,,Level 42,,zone 1,gravity hydraulics (mains),level 42
,,Level 43,,level 43,zone 1,gravity hydraulics (mains)
,,Level 44,,level 44,zone 1,gravity hydraulics (mains)
,,Level 45,,level 45,zone 1,gravity hydraulics (mains)
,,Level 46,,zone 1,gravity hydraulics (mains),level 46
,,Level 47,,level 47,zone 1,gravity hydraulics (mains)
,,Level 48,,level 48,zone 1,gravity hydraulics (mains)
,,Level 49,,level 49,zone 1,gravity hydraulics (mains)
,,Level 50,,level 50,zone 1,gravity hydraulics (mains)
,,Level 51,,level 51,zone 1,gravity hydraulics (mains)
,,Level 52,,level 52,zone 1,gravity hydraulics (mains)
,,Level 53,,zone 1,gravity hydraulics (mains),level 53
,,Level 54,,level 54,zone 1,gravity hydraulics (mains)
,,Level 55,,level 55,zone 1,gravity hydraulics (mains)
,,Level 56,,level 56,zone 1,gravity hydraulics (mains)
,,Level 57,,zone 1,gravity hydraulics (mains),level 57
,,Level 58,,level 58,zone 1,gravity hydraulics (mains)
,,Level 59,,level 59,zone 1,gravity hydraulics (mains)
,,Level 60,,zone 1,level 60,gravity hydraulics (mains)
,,Level 61,,level 61,zone 1,gravity hydraulics (mains)
,,Level 62,,level 62,zone 1,gravity hydraulics (mains)
,,Level 63,,level 63,zone 1,gravity hydraulics (mains)
,,Level 64,,zone 1,gravity hydraulics (mains),level 64
,,Level 65,,level 65,zone 1,gravity hydraulics (mains)
,Columns,,,,,
,,SD Sewer Stack (Risers),,sd sewer stack (risers),,
,,SW Down Pipe (Risers),,sw down pipe (risers),,
