"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e5aef096-074d-4665-83ae-77ab504de7d4","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00","ZONE 02"
"9f1451ee-36f9-468e-8127-71be04afddc0","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00","ZONE 03"
"f25259ac-16b8-4b4d-bde8-b97529e6b91a","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00","ZONE 04"
"03ac80ce-f9da-4796-9736-b483c1407ec5","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00","ZONE 05"
"91fcc3a7-0ad6-46a7-813a-d7801958c470","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00","ZONE 06"
"d416ac97-a09d-4530-a7c1-77114031ad5e","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00","ZONE 07"
"e686ee1d-9daf-4551-b4fc-dc26abbb4705","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00","ZONE 08"
"75e5960e-f0e5-4326-b330-c482cb26c949","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00","ZONE 09"
"db9fe872-6b4b-4798-9dd5-dbc1142433de","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00","ZONE 10"
"50af4e38-eb86-48c6-b606-f7c729c377ca","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-00","ZONE 11"
"97cd4162-aa49-4296-b603-a9a58029a139","","not-started","","folder","TRUE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01"
"8bc9ee0a-165b-4ee5-9996-6f6e517adc30","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01","ZONE 01"
"5a23229f-58cd-4c03-8c23-07e9c9d1b31d","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01","ZONE 02"
"f07230e3-5c0c-45aa-b113-543fd0f45fad","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01","ZONE 03"
"e1fb3195-f3ee-47fd-884c-bb9baa120ea2","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01","ZONE 04"
"1d2c1a0b-cd14-4abe-84e1-6b860e4fe587","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01","ZONE 05"
"3f03ccb7-c589-4430-a571-270de1cbaf9e","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01","ZONE 06"
"003ac415-da44-4337-819c-db1ca2ea6ad4","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01","ZONE 07"
"7c228040-4bf6-44ff-9874-953f52de05b0","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01","ZONE 08"
"0baa6727-48a8-4e0c-9ff2-3960f469a626","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01","ZONE 09"
"62ce445f-29a9-45ce-a347-f58baf63dd64","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01","ZONE 10"
"5dc7d746-8510-4d2f-8135-1d1b48c4a568","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-01","ZONE 11"
"835cdc1e-336d-4b23-9ce6-35c93f1e942c","","not-started","","folder","TRUE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-02"
"1b040454-5a9b-43ff-a6ac-9e45675ec3eb","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-02","ZONE 01"
"87329d68-3785-4947-8c04-3dcf38ebad5d","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-02","ZONE 02"
"aa2145e7-8ba0-435c-990c-732c3666ac06","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-02","ZONE 03"
"9af96d05-4f50-41bd-a5c9-98fa4793b63d","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-02","ZONE 04"
"5abd941f-0ccc-4009-a617-359502c21eab","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-02","ZONE 05"
"21578e9b-9879-48de-9011-ffeb7387d9ab","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-02","ZONE 06"
"ba66d6e4-be0d-431a-ac49-e153ed541965","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-02","ZONE 07"
"fbac6ab6-9163-4495-a901-feea3c23ec10","","not-started","Master Cable Tray, Ladder & Basket Installation","checklist","FALSE","FALSE","Cable Containment","CABLE TRAY, LADDER & BASKET","L-02","ZONE 08"
