"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Regent Street Progress"
,"Scope",,
,"Rows"
,,"Basement 02 -Fire Pump Room",,"basement","fire pump room","basement 02","regent street"
,,"Confirm membrane wall upturns are maximum 150mm and 100mm above FFL (floor finish level)",,"confirm membrane wall upturns are maximum 150mm and 100mm above ffl (floor finish level)"
,,"Confirm falls to drainage outlets in floor substrate 1:100 minimum",,"confirm falls to drainage outlets in floor substrate 1:100 minimum"
,,"Checked Moisture content in concrete before waterproofing",,"checked moisture content in concrete before waterproofing"
,,"Confirm application of two-part water-based (Moisture Seal Primer). Primer must be completely dry prior to application of sealant and membrane.",,"confirm application of two-part water-based (moisture seal primer). primer must be completely dry prior to application of sealant and membrane."
,,"Confirm application of bond breaker single component (Sikaflex)",,"confirm application of bond breaker single component (sikaflex)"
,,"Confirm application of 1st coat & 2nd coat of RLA PU850 (oil base)",,"confirm application of 1st coat & 2nd coat of rla pu850 (oil base)"
,,"Membrane application as per manufacturer specifications and Australian Standards",,"membrane application as per manufacturer specifications and australian standards"
,,"Confirm application of Sikaflex to the sides.",,"confirm application of sikaflex to the sides."
,,"Flood tested for 24 hours",,"flood tested for 24 hours"
,,"Confirm edge to drip groove with the application of Moisture seal and 2 Part Cementitious",,"confirm edge to drip groove with the application of moisture seal and 2 part cementitious"
,,"Confirm sand cement screed Waterproof on top of sand & cement with Moisture seal and 2 Part Cementitious",,"confirm sand cement screed waterproof on top of sand & cement with moisture seal and 2 part cementitious"
,,"Planter Boxes",,"planter boxes"
,,"Pre-waterproofing surface preparation",,"pre-waterproofing surface preparation"
,,"Confirm the application of Moisture seal primer",,"confirm the application of moisture seal primer"
,,"Confirm the application of 2 Part membrane with bandage tape.",,"confirm the application of 2 part membrane with bandage tape."
,,"Hold Point",,"hold point"
,,"Confirm membrane thickness is minimum 1000 microns",,"confirm membrane thickness is minimum 1000 microns"
,,"Day completion as per time stamped photos",,"day completion as per time stamped photos"

"Victoria Street Progress"
,"Scope",,
,"Rows"
,,"Basement 01 -Plant room",,"basement 01","plant room","victoria street"
,,"Basement 01 -Bulky Waste Room",,"bulky waste room","basement 01","victoria street"
,,"Basement 01 -Bin Room",,"basement 01","bin room","victoria street"
,,"G01 -Laundry",,"ground floor","g01","laundry","victoria street"
,,"G01 -Bathroom",,"ground floor","g01","bathroom","victoria street"
,,"G01 -Terrace",,"ground floor","g01","terrace","victoria street"
,,"G02 -Laundry",,"ground floor","g02","laundry","victoria street"
,,"G02 -Ensuite",,"ground floor","g02","ensuite","victoria street"
,,"G02 -Bathroom",,"ground floor","g02","bathroom","victoria street"
,,"G02 -Terrace",,"ground floor","g02","terrace","victoria street"
,,"G03 -Laundry",,"ground floor","g03","laundry","victoria street"
,,"G03 -Ensuite",,"ground floor","ensuite","g03","victoria street"
,,"G03 -Bathroom",,"ground floor","g03","bathroom","victoria street"
,,"G03 -Terrace",,"ground floor","terrace","g03","victoria street"
,,"G04 -Laundry",,"ground floor","g04","laundry","victoria street"
,,"G04 -Bathroom",,"ground floor","g04","bathroom","victoria street"
,,"G04 -Terrace",,"ground floor","g04","terrace","victoria street"
,,"G05-L -Laundry",,"ground floor","g05-l","laundry","victoria street"
,,"G05-L -Bathroom",,"ground floor","g05-l","bathroom","victoria street"
,,"G05-L -Terrace",,"ground floor","g05-l","terrace","victoria street"
,,"G06-L -Laundry",,"ground floor","g06-l","laundry","victoria street"
,,"G06-L -Bathroom",,"ground floor","g06-l","bathroom","victoria street"
,,"G06-L -Terrace",,"ground floor","terrace","g06-l","victoria street"
