"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2639af84-78d1-4112-989b-0083dd67e63b","","checklist-flat","work-in-progress","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Burger"
"851e73e9-8fbc-43b3-9ea8-60772cd044f6","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Kirk"
"9e389639-a17e-49ef-a7ce-5076aa6b1f70","","checklist-flat","work-in-progress","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Pat"
"6502f660-c332-466c-9ce2-e66a2d4c1472","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Kyle"
"57f83e1c-c24c-48d1-bcf0-021d5d5c5c1b","","checklist-flat","work-in-progress","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Aka"
"4bc1926d-3f5b-443f-85f1-9c05c3719657","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Mark"
"5719e9dd-4254-4953-b48b-ef5a173b0a9a","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Mick W"
"aa3b0ece-2014-4e2f-8e7e-e4b892d2b12d","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Martin"
"328243eb-d74f-45ba-9df8-0628ce56d3f5","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Matt (Bill)"
"4f3b8e5b-11ad-42d9-9e0c-4aad3929df05","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Nathan K"
"219b14b4-5f76-4579-9ec8-674defb4355e","","checklist-flat","not-started","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Nathan M"
