Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,
c7e57d80-d096-46bf-841e-3b3c5db3763a,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140538 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
ccc006ee-3160-4b33-bd63-81c96f370dfa,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140538 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
40f543e2-f372-407e-978a-cf6f0cdcae72,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140538 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
a1d8a736-cec2-4aab-902f-ee29c57988e1,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140538 (Ducting) Zone 11A,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
e8e0cba7-fa4d-4bd6-ba2c-dcfbe2e184fd,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140538 (Ducting) Zone 11A,CRAC Units,CRL-ITR-010 - Crack Unit Installation,,,,,
28174058-4285-4149-96b4-fa03fda25edd,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140538 (Ducting) Zone 11A,CRAC Units,CRL-ITR-010 - Crack Unit Installation,,,,,
dbe21d31-617e-4383-98c1-f15580948141,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140538 (Ducting) Zone 11A,CRAC Units,CRL-ITR-010 - Crack Unit Installation,,,,,
65388704-4b87-4f50-acc5-35e62c41b4b0,,checklist-sectioned,not-started,SYS - CRL-ITR-008 - AHU Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140538 (Ducting) Zone 11A,AHUs,CRL-ITR-008 - AHU Installation,,,,,
6ce2d419-7a1b-4f32-8247-48634b16f63f,,checklist-sectioned,not-started,SYS - CRL-ITR-008 - AHU Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140538 (Ducting) Zone 11A,AHUs,CRL-ITR-008 - AHU Installation,,,,,
2c1fe3e5-f59e-441c-be5c-9c2e5225ec07,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140539 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
75a3abd7-32a9-472e-9aed-ff7068e48301,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140539 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
de6e931a-6150-4ace-8305-d37e6ee06e15,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140539 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
a40399b3-98d0-4aa5-8175-e85880f33cad,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140539 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
06fa21c4-69a1-44a9-bbba-f5d24cea62f3,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140539 (Ducting) Zone 11B,FCUs,CRL-ITR-005 - Fan Coil Units,,,,,
22d0c93e-9e62-488d-8bff-6672512a58bd,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140539 (Ducting) Zone 11B,CRAC Units,CRL-ITR-010 - Crack Unit Installation,,,,,
0ed12cb0-2275-43f1-92f3-cd2d11c97f8d,,checklist-sectioned,not-started,SYS - CRL-ITR-010 - Crack Unit Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140539 (Ducting) Zone 11B,CRAC Units,CRL-ITR-010 - Crack Unit Installation,,,,,
2711937d-b27b-4452-887a-084ebffcdde3,,checklist-sectioned,not-started,SYS - CRL-ITR-008 - AHU Installation (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L1 Plant,Drawing No. 140539 (Ducting) Zone 11B,AHUs,CRL-ITR-008 - AHU Installation,,,,,
ac2d4fd5-7ee5-4d20-abf1-2e43ba9f5323,,checklist-sectioned,not-started,SYS - CRL-ITR-005 - Fan Coil Units (old version),checklist,FALSE,FALSE,Aotea Station,Station Building,L0 Wellesley East,Drawing No. 130011 (Piping),FCUs,CRL-ITR-005 - Fan Coil Units (AOT-WEL0-ASS-FCU-001),,,,,
