"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7686766-60cb-42a5-925e-bcc237563a58","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.03.2"
"9d63b4cd-1bd5-482a-b144-356a86ff497d","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.04.20"
"933a5124-feb6-45cc-888f-2952945ec472","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.05.17"
"ce6f9389-cbd1-4aba-a173-f22f74c8baad","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.06.11"
"929d99fc-d725-43b5-aa44-5ffb2b77317d","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.19.8"
"320ba74d-e9f7-477d-879a-0b95572da231","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.20.25"
"c1fb92f6-4b96-4fc8-900f-779f285cb0ad","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.21.16"
"6c1881b7-63f4-4703-b17b-e6e2b87402e2","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.22.17"
"6c1fee3e-9ad0-4d3b-a7b6-c82554dba3ec","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.23.23"
"7a8c8c5e-5232-434b-861c-c51121f632c8","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","West Tower","W.05.24.17"
"830d02f3-02d3-446e-b19e-222d8f2f8d20","","folder-normal","not-started","","step","TRUE","FALSE","Level 05","East Tower"
"6f16d075-bc7c-4ad4-8d87-7ef44219e33b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.07.12"
"19e6e9ec-e97c-4797-b2e4-5b7e25a585a1","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 05","East Tower","W.05.08.13"
